的 de5  "白 bai2, 勺 shao2, 日 ri4, 囗 wei2" 0 "有的 似的 目的 别的" "的 de5 of; (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis)
有的 you3de5 (there are) some (who are...); some (exist)
似的 shi4de5 seems as if; rather like
目的 mu4di4 purpose; aim; goal; target; objective
将 jiang4 弶洚降酱绛匠糨犟 "夕 xi1, 寸 cun4" 77 "将来 即将 将军 将近" "将 jiang1 will; shall; to use; to take; to checkmate; just a short while ago
将来 jiang1lai2 in the future; future; the future
即将 ji2jiang1 on the eve of; to be about to; to be on the verge of
将军 jiang1jun1 (common place name); general; high-ranking military officer; to check or checkmate; fig. to embarrass; to challenge; to put sb on the spot
将近 jiang1jin4 almost; nearly; close to"
再 zai4 在载 "冉 ran3, 土 tu3, 十 shi2" 78 "不再 再次 再也 再说" "再 zai4 again; once more; re-; second; another; then (after sth, and not until then)
不再 bu4zai4 no more; no longer
再次 zai4ci4 one more time; again; one more; once again
再也 zai4ye3 (not) any more
再说 zai4shuo1 to say again; to put off a discussion until later; moreover; what's more; besides"
现 xian4 陷腺线苋缐馅霰县 "见 jian4, 十 shi2, 儿 er2" 79 "现在 发现 出现 表现" "现 xian4 to appear; present; now; existing; current
现在 xian4zai4 now; at present; at the moment; modern; current; nowadays
发现 fa1xian4 to notice; to become aware of; to discover; to find; to detect; a discovery
出现 chu1xian4 to appear; to arise; to emerge; to show up
表现 biao3xian4 to show; to show off; to display; to manifest; expression; manifestation; show; display; performance (at work etc); behavior"
吧 ba1 羓八鲃巴叭笆蚆疤 "口 kou3, 巴 ba1" 80 "酒吧 吧嗒 吧唧" "吧 ba5 (modal particle indicating suggestion or surmise); ...right?; ...ok?; ...i presume.
酒吧 jiu3ba1 bar; pub; saloon
吧嗒 ba1da5 to smack one's lips; to pull (on a pipe)
吧唧 ba1ji5 to smack one's lips"
经 jing1 晶旌䴖睛精麖茎菁 "工 gong1" 81 "已经 经济 经过 经常" "经 jing1 classics; sacred book; scripture; to pass through; to undergo; to bear; to endure; warp (textile); longitude; menstruation; channel (tcm)
已经 yi3jing1 already
经济 jing1ji4 economy; economic
经过 jing1guo4 to pass; to go through; process; course
经常 jing1chang2 frequently; constantly; regularly; often; day-to-day; everyday; daily"
只 zhi3 趾酯止祉旨黹芷扺 "口 kou3, 八 ba1" 82 "只是 只有 只要 只能" "只 zhi3 only; merely; just; but
只是 zhi3shi4 merely; only; just; nothing but; simply; but; however
只有 zhi3you3 only have ...; there is only ...
只要 zhi3yao4 if only; so long as
只能 zhi3neng2 can only; obliged to do sth; to have no other choice"
间 jian1 蒹艰奸尖菅鳒监鲣 "门 men2, 日 ri4, 囗 wei2" 83 "时间 之间 房间 期间" "间 jian1 between; among; within a definite time or space; room; section of a room or lateral space between two pairs of pillars; classifier for rooms
时间 shi2jian1 time; period
之间 zhi1jian1 (after a noun) between; among; amid
房间 fang2jian1 room
期间 qi1jian1 period of time; time; time period; period"
走 zou3  "土 tu3, 十 shi2, 人 ren2" 84 "走进 走向 走过 走去" "走 zou3 to walk; to go; to run; to move (of vehicle); to visit; to leave; to go away; to die (euph.); from; through; to change (shape, form, meaning)
走进 zou3jin4 to enter
走向 zou3xiang4 direction; strike (i.e. angle of inclination in geology); inclination; trend; to move towards; to head for
走过 zou3guo4 to walk past; to pass by
走去 zou3qu4 to walk over (to)"
它 ta1 褟趿遢溻铊塌他她 "匕 bi3" 85 "它们 其它 吉它" "它 ta1 it
它们 ta1men5 they (for inanimate objects)
其它 qi2ta1 other; the others; else; other than it; in addition to the thing mentioned above
吉它 ji2ta1 a guitar"
更 geng1 庚浭鹒赓羹耕 "日 ri4, 乂 yi4, 囗 wei2" 86 "更加 更是 更新 更为" "更 geng4 more; even more; further; still; still more
更加 geng4jia1 more (than sth else); even more
更是 geng4shi4 even more (so)
更新 geng1xin1 to replace the old with new; to renew; to renovate; to upgrade; to update; to regenerate
更为 geng4wei2 even more"
问 wen4 璺汶 "门 men2, 口 kou3" 87 "问题 访问 请问 问道" "问 wen4 to ask; to inquire
问题 wen4ti2 question; problem; issue; topic
访问 fang3wen4 to visit; to call on; to interview
请问 qing3wen4 excuse me, may i ask...?
问道 wen4dao4 to ask the way; to ask"
样 yang4 怏漾恙羕 "木 mu4, 羊 yang2, 十 shi2, 二 er4" 88 "这样 一样 那样 样子" "样 yang4 manner; pattern; way; appearance; shape; classifier: kind, type
这样 zhe4yang4 this kind of; so; this way; like this; such
一样 yi1yang4 same; like; equal to; the same as; just like
那样 na4yang4 that kind; that sort
样子 yang4zi5 appearance; manner; pattern; model"
工 gong1 䢼恭攻觥蚣弓供公  89 "工作 工程 工资 工具" "工 gong1 work; worker; skill; profession; trade; craft; labor
工作 gong1zuo4 to work; (of a machine) to operate; job; work; task
工程 gong1cheng2 engineering; an engineering project; project; undertaking
工资 gong1zi1 wages; pay
工具 gong1ju4 tool; instrument; utensil; means (to achieve a goal etc)"
才 cai2 材裁财  90 "才能 刚才 人才 天才" "才 cai2 ability; talent; sb of a certain type; a capable individual; then and only then; just now; (before an expression of quantity) only; (before an expression of quantity) only
才能 cai2neng2 talent; ability; capacity
刚才 gang1cai2 just now; a moment ago
人才 ren2cai2 talent; talented person; looks; attractive looks
天才 tian1cai2 talent; gift; genius; talented; gifted"
候 hou4 鲘后郈鲎逅堠厚垕 "矢 shi3, 大 da4, 人 ren2" 91 "时候 有时候 那时候 小时候" "候 hou4 to wait; to inquire after; to watch; season; climate
时候 shi2hou5 time; length of time; moment; period
有时候 you3shi2hou5 sometimes
那时候 na4shi2hou5 at that time
小时候 xiao3shi2hou5 in one's childhood"
如 ru2 薷嬬茹儒颥孺蠕铷 "女 nü3, 口 kou3" 92 "如果 如何 如此 比如" "如 ru2 as; as if; such as
如果 ru2guo3 if; in case; in the event that
如何 ru2he2 how; what way; what
如此 ru2ci3 like this; so; such
比如 bi3ru2 for example; for instance; such as"
做 zuo4 酢胙唑作祚阼坐座 "故 gu4, 古 gu3, 十 shi2, 口 kou3, 乂 yi4" 93 "做到 做出 叫做 做饭" "做 zuo4 to make; to produce; to write; to compose; to do; to engage in; to hold (a party etc); (of a person) to be (an intermediary, a good student etc); to become (husband and wife, friends etc); (of a thing) to serve as; to be used for; to assume (an air or manner)
做到 zuo4dao4 to accomplish; to achieve
做出 zuo4chu1 to put out; to issue
叫做 jiao4zuo4 to be called; to be known as
做饭 zuo4fan4 to prepare a meal; to cook"
呢 ni2 铌伲𫐐泥鲵坭倪怩 "口 kou3, 尼 ni2, 尸 shi1, 匕 bi3" 94 "着呢 呢喃 花呢" "呢 ne5 (at the end of a declarative sentence) particle indicating continuation of a state or action; particle indicating strong affirmation
着呢 zhe5ne5 comes at the end of the sentence to indicate a strong degree; quite; rather
呢喃 ni2nan2 whispering; murmuring
花呢 hua1ni2 tweed; checkered cloth"
开 kai1 揩锎 "廾 gong3, 十 shi2" 95 "开始 离开 打开 开心" "开 kai1 to open; to start; to turn on; to boil; to write out (a prescription, check, invoice etc); to operate (a vehicle); carat (gold)
开始 kai1shi3 to begin; beginning; to start; initial
离开 li2kai1 to depart; to leave
打开 da3kai1 to open; to show (a ticket); to turn on; to switch on
开心 kai1xin1 to feel happy; to rejoice; to have a great time; to make fun of sb"
果 guo3 椁馃裹粿蜾 "日 ri4, 木 mu4, 囗 wei2, 十 shi2" 96 "如果 结果 效果 果然" "果 guo3 fruit; result; resolute; indeed; if really; fruit
如果 ru2guo3 if; in case; in the event that
结果 jie1guo3 to bear fruit
效果 xiao4guo3 result; effect; efficacy; (theater) sound or visual effects
果然 guo3ran2 really; sure enough; as expected; if indeed"
向 xiang4 项像象珦巷橡 "口 kou3" 97 "走向 向前 一向 转向" "向 xiang4 towards; to face; to turn towards; direction; to support; to side with; shortly before; formerly; always; all along; (suffix) suitable for ...; oriented to ...; to tend toward; to guide; direction; orientation; to face; to turn toward; to; towards; shortly before; formerly
走向 zou3xiang4 direction; strike (i.e. angle of inclination in geology); inclination; trend; to move towards; to head for
向前 xiang4qian2 forward; onward
一向 yi1xiang4 always (previously); a period of time in the recent past
转向 zhuan3xiang4 to change direction; fig. to change one's stance"
作 zuo4 怍岞酢座阼做坐胙 "乍 zha4, 二 er4" 98 "工作 作者 作为 作品" "作 zuo4 to do; to engage in; to write; to compose; to pretend; to feign; to regard as; to consider to be; to be; to act the part of; to feel (itchy, nauseous etc); writings; works
工作 gong1zuo4 to work; (of a machine) to operate; job; work; task
作者 zuo4zhe3 author; writer
作为 zuo4wei2 one's conduct; deed; activity; accomplishment; achievement; to act as; as (in the capacity of); qua; to view as; to look upon (sth as); to take sth to be
作品 zuo4pin3 work (of art); opus"
元 yuan2 员湲爰橼媛塬嫄猿 "兀 wu4, 儿 er2" 99 "美元 欧元 纪元 公元" "元 yuan2 currency unit (esp. chinese yuan); first; original; primary; fundamental; constituent; part; era (of a reign); meta- (prefix); (math.) argument; variable
美元 mei3yuan2 american dollar; us dollar
欧元 ou1yuan2 euro (currency)
纪元 ji4yuan2 calendar era; epoch
公元 gong1yuan2 ce (common era); christian era; ad (anno domini)"
却 que4 雀悫榷埆阕确𬒈碏 "去 qu4, 土 tu3, 十 shi2" 100 "却是 忘却 冷却 了却" "却 que4 but; yet; however; while; to go back; to decline; to retreat; nevertheless; even though
却是 que4shi4 nevertheless; actually; the fact is ...
忘却 wang4que4 to forget
冷却 leng3que4 to cool off; cooling
了却 liao3que4 to resolve; to settle"
吃 chi1 眵媸哧魑瓻笞摛嗤 "口 kou3, 乞 qi3" 101 "吃饭 好吃 吃完 吃惊" "吃 chi1 to eat; to consume; to eat at (a cafeteria etc); to eradicate; to destroy; to absorb; to suffer
吃饭 chi1fan4 to have a meal; to eat; to make a living
好吃 hao3chi1 tasty; delicious
吃完 chi1wan2 to finish eating
吃惊 chi1jing1 to be startled; to be shocked; to be amazed"
出 chu1 䝙摴初䢺樗 "屮 che4, 凵 kan3" 102 "出现 提出 出版 发出" "出 chu1 to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; (used after a verb to indicate an outward direction or a positive result); classifier for dramas, plays, operas etc
出现 chu1xian4 to appear; to arise; to emerge; to show up
提出 ti2chu1 to raise (an issue); to propose; to put forward; to suggest; to post (on a website); to withdraw (cash)
出版 chu1ban3 to publish
发出 fa1chu1 to issue (an order, decree etc); to send out; to dispatch; to produce (a sound); to let out (a laugh)"
等 deng3 戥 "寺 si4, 土 tu3, 寸 cun4, 十 shi2" 103 "等等 等待 等到 等于" "等 deng3 class; rank; grade; equal to; same as; to wait for; to await; et cetera; and so on; et al. (and other authors); after; as soon as; once
等等 deng3deng3 et cetera; and so on ...
等待 deng3dai4 to wait; to wait for
等到 deng3dao4 to wait until; by the time when (sth is ready etc)
等于 deng3yu2 to equal; to be tantamount to"
于 yu2 髃舆妤禺盂艅蝓萸  104 "于是 由于 对于 终于" "于 yu2 to go; to take; sentence-final interrogative particle; (of time or place) in; at; on; (indicating any indirect relation) to; toward; with regard to; for; (indicating a source) from; out of
于是 yu2shi4 thereupon; as a result; consequently; thus; hence
由于 you2yu2 due to; as a result of; thanks to; owing to; since; because
对于 dui4yu2 regarding; as far as (sth) is concerned; with regard to
终于 zhong1yu2 at last; in the end; finally; eventually"
所 suo3 琐溹唢索锁 "斤 jin1" 105 "所以 所有 所谓 有所" "所 suo3 actually; place; classifier for houses, small buildings, institutions etc; that which; particle introducing a relative clause or passive
所以 suo3yi3 therefore; as a result; so; the reason why
所有 suo3you3 all; to have; to possess; to own
所谓 suo3wei4 so-called; what is called
有所 you3suo3 somewhat; to some extent"
生 sheng1 陞升牲甥笙昇声 "土 tu3, 十 shi2" 106 "学生 生活 发生 先生" "生 sheng1 to be born; to give birth; life; to grow; raw; uncooked; student
学生 xue2sheng5 student; schoolchild
生活 sheng1huo2 to live; life; livelihood
发生 fa1sheng1 to happen; to occur; to take place; to break out
先生 xian1sheng5 teacher; gentleman; sir; mister (mr.); husband; (dialect) doctor"
最 zui4 槜蕞罪醉 "取 qu3, 耳 er3, 又 you4" 107 "最后 最好 最近 最终" "最 zui4 most; the most; -est (superlative suffix)
最后 zui4hou4 final; last; finally; ultimate
最好 zui4hao3 best; (you) had better (do what we suggest)
最近 zui4jin4 recently; soon; nearest
最终 zui4zhong1 final; ultimate"
儿 er2 鸸耏陑鲕而  108 "儿子 女儿 儿童 孩儿" "儿 er2 child; son
儿子 er2zi5 son
女儿 nü3er2 daughter
儿童 er2tong2 child
孩儿 hai2r5 child"
始 shi3 豕使史驶屎矢 "女 nü3, 台 tai2, 口 kou3" 109 "开始 始终 原始 初始" "始 shi3 to begin; to start; then; only then
开始 kai1shi3 to begin; beginning; to start; initial
始终 shi3zhong1 from beginning to end; all along
原始 yuan2shi3 first; original; primitive; original (document etc)
初始 chu1shi3 initial; starting (point)"
家 jia1 袈泇镓浃珈枷葭痂 "豕 shi3" 110 "大家 国家 家里 回家" "家 jia1 home; family; (polite) my (sister, uncle etc); classifier for families or businesses; refers to the philosophical schools of pre-han china; noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to english -ist, -er, -ary or -ian
大家 da4jia1 everyone; influential family; great expert
国家 guo2jia1 country; nation; state
家里 jia1li3 home
回家 hui2jia1 to return home"
话 hua4 婳化桦觟画划 "舌 she2, 千 qian1, 口 kou3, 十 shi2" 111 "电话 说话 打电话 一句话" "话 hua4 dialect; language; spoken words; speech; talk; words; conversation; what sb said
电话 dian4hua4 telephone; phone call; phone number
说话 shuo1hua4 to speak; to say; to talk; to gossip; to tell stories; talk; word
打电话 da3dian4hua4 to make a telephone call
一句话 yi1ju4hua4 in a word; in short"
并 bing4 病摒 "开 kai1, 廾 gong3, 十 shi2" 112 "并不 并且 并非 合并" "并 bing4 and; furthermore; also; together with; (not) at all; simultaneously; to combine; to join; to merge; to combine; to amalgamate
并不 bing4bu4 not at all; emphatically not
并且 bing4qie3 and; besides; moreover; furthermore; in addition
并非 bing4fei1 really isn't
合并 he2bing4 to merge; to annex"
子 zi3 訾笫梓紫虸耔籽滓 "了 le5" 113 "孩子 儿子 样子 房子" "子 zi5 (noun suffix)
孩子 hai2zi5 child
儿子 er2zi5 son
样子 yang4zi5 appearance; manner; pattern; model
房子 fang2zi5 house; building (single- or two-story); apartment; room"
